City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
206,okhotsk,59.3833,143.3,55.33,91,100,10.02,RU,1661114256
207,kahului,20.8947,-156.47,87.82,55,20,20.71,US,1661114256
208,lucapa,-8.4192,20.7447,73.2,28,13,0.85,AO,1661114257
209,kodiak,57.79,-152.4072,53.11,100,100,12.66,US,1661114257
210,cidreira,-30.1811,-50.2056,56.91,83,0,6.76,BR,1661114258
211,aberdeen,57.1437,-2.0981,57.69,77,99,1.14,GB,1661114176
212,port hedland,-20.3167,118.5667,57.25,58,0,6.91,AU,1661114259
213,mangan,27.5167,88.5333,73.58,85,34,4.14,IN,1661114259
214,sangin,32.0728,64.8359,82.15,26,23,2.06,AF,1661114260
215,viedma,-40.8135,-62.9967,51.12,62,1,14.27,AR,1661114260
216,caravelas,-17.7125,-39.2481,70.38,75,92,15.86,BR,1661114261
217,saint anthony,45.0205,-93.218,83.86,50,75,9.22,US,1661114261
218,moose factory,51.2585,-80.6094,71.6,64,100,3.44,CA,1661114262
219,beaumont,30.0861,-94.1019,93.18,76,75,13.8,US,1661114143
220,sao filipe,14.8961,-24.4956,77.74,88,100,14.36,CV,1661114263
221,marathon,44.9,-89.7668,80.35,48,0,11.5,US,1661114263
222,ketchikan,55.3422,-131.6461,68.47,73,0,8.05,US,1661114264
223,dwarka,22.2394,68.9678,80.73,82,100,16.96,IN,1661114264
224,qaqortoq,60.7167,-46.0333,45.39,66,17,1.81,GL,1661114265
225,sault sainte marie,46.5168,-84.3333,77.29,70,0,17.27,CA,1661114250
226,broome,42.2506,-75.833,80.2,66,75,7.0,US,1661114266
227,storforshei,66.4043,14.5233,60.58,87,75,2.3,NO,1661114266
228,santona,43.4439,-3.4576,71.91,77,93,7.81,ES,1661114267
229,bethel,41.3712,-73.414,85.35,57,20,10.36,US,1661114267
230,gushikawa,26.3544,127.8686,84.2,84,20,9.22,JP,1661114268
231,homer,59.6425,-151.5483,62.49,55,75,5.75,US,1661114268
232,vung tau,10.346,107.0843,80.31,84,100,10.54,VN,1661114269
233,ardakan,32.31,54.0175,78.93,17,0,2.19,IR,1661114269
234,chokurdakh,70.6333,147.9167,58.62,79,100,3.47,RU,1661114270
235,clyde river,70.4692,-68.5914,44.83,81,75,5.75,CA,1661114270
236,zhigansk,66.7697,123.3711,39.9,92,100,4.61,RU,1661114014
237,puerto del rosario,28.5004,-13.8627,83.95,51,0,12.66,ES,1661114271
238,santiago del estero,-27.7951,-64.2615,73.13,13,0,4.21,AR,1661114272
239,flin flon,54.7682,-101.865,75.04,64,100,4.61,CA,1661114272
240,nanortalik,60.1432,-45.2371,40.33,88,27,12.91,GL,1661114273
241,thompson,55.7435,-97.8558,68.16,56,75,13.8,CA,1661114232
242,weyburn,49.6668,-103.8511,88.02,23,91,6.91,CA,1661114273
243,kurchum,48.5722,83.6542,52.03,59,0,5.75,KZ,1661114274
244,russell,32.3502,-85.1999,85.91,70,0,6.91,US,1661114274
245,cruzeiro do sul,-29.5128,-51.9853,58.51,83,0,2.84,BR,1661114148
246,mahon,39.8885,4.2658,79.36,78,20,6.91,ES,1661114275
247,seminole,28.7086,-81.2081,92.98,70,40,11.5,US,1661114275
248,mulege,26.8833,-111.9833,92.16,33,75,7.61,MX,1661114276
249,dunedin,-45.8742,170.5036,47.8,68,95,5.01,NZ,1661114276
250,larap,14.299,122.6504,76.15,92,100,5.53,PH,1661114277
251,salalah,17.0151,54.0924,75.29,100,100,4.61,OM,1661114278
252,krapina,46.1608,15.8789,70.5,72,100,1.66,HR,1661114278
253,ahuimanu,21.4447,-157.8378,84.2,62,0,17.27,US,1661114278
254,gobabis,-22.45,18.9667,51.46,19,4,10.47,NA,1661114279
255,kumluca,36.3703,30.2869,82.17,72,42,2.28,TR,1661114280
256,sao miguel do araguaia,-13.275,-50.1628,85.14,22,3,3.67,BR,1661114280
257,watertown,42.3709,-71.1828,89.58,42,0,13.8,US,1661114025
258,canton,23.1167,113.25,82.87,83,100,2.84,CN,1661114140
259,pangkalanbuun,-2.6833,111.6167,74.41,92,100,1.5,ID,1661114281
260,totma,59.9747,42.7642,56.91,79,90,4.43,RU,1661114282
261,snihurivka,47.0758,32.8052,74.75,67,4,5.41,UA,1661114283
262,saint-medard-en-jalles,44.8969,-0.7214,71.82,73,100,5.75,FR,1661114283
263,byron bay,-28.65,153.6167,42.76,68,100,1.1,AU,1661114284
264,luanda,-8.8368,13.2343,68.45,91,0,7.45,AO,1661114284
265,taganak,6.0833,118.3,78.94,79,100,8.5,PH,1661114285
266,kavieng,-2.5744,150.7967,80.71,77,87,11.59,PG,1661114286
267,huejuquilla el alto,22.6,-103.8667,78.26,47,80,6.89,MX,1661114286
268,te anau,-45.4167,167.7167,40.96,96,100,0.63,NZ,1661114286
269,daltenganj,24.0333,84.0667,75.54,88,95,3.85,IN,1661114287
270,urucui,-7.2294,-44.5561,87.76,25,92,7.9,BR,1661114287
271,buraydah,26.326,43.975,97.25,13,29,14.61,SA,1661114288
272,fairbanks,64.8378,-147.7164,68.59,60,75,3.44,US,1661114280
273,mackay,-21.15,149.2,59.68,72,64,12.33,AU,1661114289
274,parkent,41.2944,69.6764,58.82,19,0,5.77,UZ,1661114289
275,sao felix do xingu,-6.6447,-51.995,88.21,25,96,3.18,BR,1661114289
276,mayumba,-3.432,10.6554,71.82,90,100,5.55,GA,1661114290
277,tasiilaq,65.6145,-37.6368,44.76,93,100,4.36,GL,1661114290
278,nikolskoye,59.7035,30.7861,66.09,57,42,5.68,RU,1661114291
279,pareora,-44.4871,171.2132,46.18,97,57,5.7,NZ,1661114292
280,jalu,29.0331,21.5482,81.97,54,0,14.34,LY,1661114293
281,najran,17.4924,44.1277,84.85,40,100,7.52,SA,1661114293
282,muroto,33.2833,134.15,81.81,84,1,9.51,JP,1661114294
283,bambous virieux,-20.3428,57.7575,67.21,88,40,4.61,MU,1661114294
284,tucurui,-3.7661,-49.6725,86.9,33,80,4.34,BR,1661114295
